"Title","URL","Description","h1 headings","h1 count","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"«Братушки» против красных. Часть 3. Осада - Медиапроект s-t-o-l.com","https://s-t-o-l.com/istoriya/bratushki-protiv-krasnyh-chast-3-osada/","100 лет назад вспыхнул Кронштадтский мятеж. «Стол» продолжает вспоминать, как руководители большевиков использовали моряков в закулисной борьбе за власть.","«Братушки» против красных. Часть 3. Осада","1","","","","67","154","1.5054 s","114kb","78","4031","","1932","","","https://s-t-o-l.com/istoriya/bratushki-protiv-krasnyh-chast-3-osada/","81","7384 kb","1","143","16","0"
"«Братушки» против красных. Часть 2. Бунт - Медиапроект s-t-o-l.com","https://s-t-o-l.com/istoriya/bratushki-protiv-krasnyh-chast-2-bunt/","100 лет назад вспыхнул Кронштадтский мятеж. «Стол» продолжает вспоминать, как руководители большевиков использовали моряков в закулисной борьбе за власть.","«Братушки» против красных. Часть 2. Бунт","1","","","","66","154","1.7700 s","95kb","78","2778","","472","","","https://s-t-o-l.com/istoriya/bratushki-protiv-krasnyh-chast-2-bunt/","58","3097 kb","1","120","16","0"
